ID,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
35117,1449964800000,11968620,11968620,11968620,11034208,11034208,331,331
35117,1450051200000,331,331,331,331,331,331,331
35117,1450137600000,331,331,331,331,331,331,331
35117,1450224000000,331,331,331,331,331,331,331
35117,1450310400000,331,331,331,331,331,331,331
35117,1450396800000,331,331,331,331,331,331,331
35117,1450483200000,331,331,331,331,331,331,331
35117,1450569600000,331,331,331,331,331,331,331
35117,1450656000000,331,331,331,331,331,331,331
35117,1450742400000,328,331,331,331,331,331,331
35117,1450828800000,328,328,331,331,328,331,330.9
35117,1450915200000,328,328,331,331,328,331,330.8
35117,1451001600000,328,328,331,331,328,331,330.7
35117,1451088000000,328,328,331,331,328,331,330.6
35117,1451174400000,328,328,331,331,328,331,330.5
35117,1451260800000,328,328,331,331,328,331,330.4
35117,1451347200000,328,328,328,331,328,331,330.3
35117,1451433600000,328,328,328,331,328,331,330.2
35117,1451520000000,328,328,328,331,328,331,330.1
35117,1451606400000,328,328,328,331,328,331,330
35117,1451692800000,328,328,328,331,328,331,329.9
35117,1451779200000,328,328,328,331,328,331,329.8
35117,1451865600000,328,328,328,331,328,331,329.7
35117,1451952000000,328,328,328,331,328,331,329.6
35117,1452038400000,328,328,328,331,328,331,329.5
35117,1452124800000,328,328,328,331,328,331,329.4
35117,1452211200000,328,328,328,331,328,331,329.3
35117,1452297600000,328,328,328,331,328,331,329.2
35117,1452384000000,328,328,328,331,328,331,329.1
35117,1452470400000,328,328,328,331,328,331,329
35117,1452556800000,328,328,328,331,328,331,328.9
35117,1452643200000,328,328,328,331,328,331,328.8
35117,1452729600000,328,328,328,331,328,331,328.7
35117,1452816000000,328,328,328,331,328,331,328.6
35117,1452902400000,328,328,328,331,328,331,328.5
35117,1452988800000,328,328,328,331,328,331,328.4
35117,1453075200000,328,328,328,331,328,331,328.3
35117,1453161600000,328,328,328,331,328,331,328.2
35117,1453248000000,328,328,328,331,328,331,328.1
35117,1453334400000,328,328,328,328,328,328,328
35117,1453420800000,328,328,328,328,328,328,328
35117,1453507200000,328,328,328,328,328,328,328
35117,1453593600000,328,328,328,328,328,328,328
35117,1453680000000,328,328,328,328,328,328,328
35117,1453766400000,328,328,328,328,328,328,328
35117,1453852800000,328,328,328,328,328,328,328
35117,1453939200000,328,328,328,328,328,328,328
35117,1454025600000,328,328,328,328,328,328,328
35117,1454112000000,328,328,328,328,328,328,328
35117,1454198400000,328,328,328,328,328,328,328
35117,1454284800000,328,328,328,328,328,328,328
35117,1454371200000,328,328,328,328,328,328,328
35117,1454457600000,328,328,328,328,328,328,328
35117,1454544000000,328,328,328,328,328,328,328
35117,1454630400000,328,328,328,328,328,328,328
35117,1454716800000,328,328,328,328,328,328,328
35117,1454803200000,328,328,328,328,328,328,328
35117,1454889600000,328,328,328,328,328,328,328
35117,1454976000000,328,328,328,328,328,328,328
35117,1455062400000,328,328,328,328,328,328,328
35117,1455148800000,328,328,328,328,328,328,328
35117,1455235200000,328,328,328,328,328,328,328
35117,1455321600000,328,328,328,328,328,328,328
35117,1455408000000,328,328,328,328,328,328,328
35117,1455494400000,328,328,328,328,328,328,328
35117,1455580800000,328,328,328,328,328,328,328
35117,1455667200000,328,328,328,328,328,328,328
35117,1455753600000,328,328,328,328,328,328,328
35117,1455840000000,328,328,328,328,328,328,328
35117,1455926400000,328,328,328,328,328,328,328
35117,1456012800000,328,328,328,328,328,328,328
35117,1456099200000,328,328,328,328,328,328,328
35117,1456185600000,328,328,328,328,328,328,328
35117,1456272000000,328,328,328,328,328,328,328
35117,1456358400000,328,328,328,328,328,328,328
35117,1456444800000,328,328,328,328,328,328,328
35117,1456531200000,328,328,328,328,328,328,328
35117,1456617600000,328,328,328,328,328,328,328
35117,1456704000000,328,328,328,328,328,328,328
35117,1456790400000,328,328,328,328,328,328,328
35117,1456876800000,328,328,328,328,328,328,328
35117,1456963200000,328,328,328,328,328,328,328
35117,1457049600000,328,328,328,328,328,328,328
35117,1457136000000,328,328,328,328,328,328,328
35117,1457222400000,328,328,328,328,328,328,328
35117,1457308800000,328,328,328,328,328,328,328
35117,1457395200000,328,328,328,328,328,328,328
35117,1457481600000,328,328,328,328,328,328,328
35117,1457568000000,328,328,328,328,328,328,328
35117,1457654400000,328,328,328,328,328,328,328
35117,1457740800000,328,328,328,328,328,328,328
35117,1457827200000,328,328,328,328,328,328,328
35117,1457913600000,328,328,328,328,328,328,328
35117,1458000000000,328,328,328,328,328,328,328
35117,1458086400000,328,328,328,328,328,328,328
35117,1458172800000,328,328,328,328,328,328,328
35117,1458259200000,328,328,328,328,328,328,328
35117,1458345600000,328,328,328,328,328,328,328
35117,1458432000000,328,328,328,328,328,328,328
35117,1458518400000,332,328,328,328,328,328,328
35117,1458604800000,332,332,328,328,328,332,328.1333333333333
35117,1458691200000,332,332,328,328,328,332,328.26666666666665
35117,1458777600000,332,332,328,328,328,332,328.4
35117,1458864000000,332,332,328,328,328,332,328.53333333333336
35117,1458950400000,332,332,328,328,328,332,328.6666666666667
35117,1459036800000,332,332,328,328,328,332,328.8
35117,1459123200000,332,332,332,328,328,332,328.93333333333334
35117,1459209600000,332,332,332,328,328,332,329.06666666666666
35117,1459296000000,332,332,332,328,328,332,329.2
35117,1459382400000,332,332,332,328,328,332,329.3333333333333
35117,1459468800000,332,332,332,328,328,332,329.46666666666664
35117,1459555200000,332,332,332,328,328,332,329.6
35117,1459641600000,332,332,332,328,328,332,329.73333333333335
35117,1459728000000,332,332,332,328,328,332,329.8666666666667
35117,1459814400000,332,332,332,328,328,332,330
35117,1459900800000,332,332,332,328,328,332,330.1333333333333
35117,1459987200000,332,332,332,328,328,332,330.26666666666665
35117,1460073600000,332,332,332,328,328,332,330.4
