ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
4708,Mage armour,1449964800000,224513,224513,245750,211837,211837,253823,253823
4708,Mage armour,1450051200000,224513,224513,245750,211837,211837,253823,253823
4708,Mage armour,1450137600000,227657,224513,245750,211837,211837,253823,253823
4708,Mage armour,1450224000000,227657,227657,235356,216360,216360,253823,253823
4708,Mage armour,1450310400000,227657,227657,235356,216360,216360,253823,253823
4708,Mage armour,1450396800000,227657,227657,235356,216360,216360,253823,253823
4708,Mage armour,1450483200000,228742,227657,224513,216360,216360,253823,253823
4708,Mage armour,1450569600000,228742,228742,224513,225611,224513,253823,253823
4708,Mage armour,1450656000000,228742,228742,224513,225611,224513,253823,253823
4708,Mage armour,1450742400000,220962,228742,227657,225611,224513,253823,253823
4708,Mage armour,1450828800000,220962,220962,227657,225611,220962,253823,253823
4708,Mage armour,1450915200000,220962,220962,227657,225611,220962,253823,253823
4708,Mage armour,1451001600000,216898,220962,227657,236215,220962,253823,253823
4708,Mage armour,1451088000000,216898,216898,228742,236215,216898,253823,253823
4708,Mage armour,1451174400000,216898,216898,228742,236215,216898,253823,253823
4708,Mage armour,1451260800000,216898,216898,228742,236215,216898,253823,253823
4708,Mage armour,1451347200000,211555,216898,220962,246603,216898,253823,253823
4708,Mage armour,1451433600000,211555,211555,220962,246603,211555,253823,253823
4708,Mage armour,1451520000000,211555,211555,220962,246603,211555,253823,253823
4708,Mage armour,1451606400000,213685,211555,216898,253823,211555,253823,253823
4708,Mage armour,1451692800000,213685,213685,216898,253823,211555,253823,253823
4708,Mage armour,1451779200000,213685,213685,216898,253823,211555,253823,253823
4708,Mage armour,1451865600000,215294,213685,216898,253823,211555,253823,253823
4708,Mage armour,1451952000000,215294,215294,211555,245750,211555,245750,245750
4708,Mage armour,1452038400000,215294,215294,211555,245750,211555,245750,245750
4708,Mage armour,1452124800000,215294,215294,211555,245750,211555,245750,245750
4708,Mage armour,1452211200000,222775,215294,213685,235356,211555,235356,235356
4708,Mage armour,1452297600000,222775,222775,213685,235356,211555,235356,235356
4708,Mage armour,1452384000000,222775,222775,213685,235356,211555,235356,235356
4708,Mage armour,1452470400000,224432,222775,215294,224513,211555,228742,228742
4708,Mage armour,1452556800000,224432,224432,215294,224513,211555,228742,228742
4708,Mage armour,1452643200000,224432,224432,215294,224513,211555,228742,228742
4708,Mage armour,1452729600000,224432,224432,215294,227657,211555,228742,228742
4708,Mage armour,1452816000000,226653,224432,222775,227657,211555,228742,228742
4708,Mage armour,1452902400000,226653,226653,222775,227657,211555,228742,228742
4708,Mage armour,1452988800000,226653,226653,222775,227657,211555,228742,228742
4708,Mage armour,1453075200000,231994,226653,224432,228742,211555,228742,228742
4708,Mage armour,1453161600000,231994,231994,224432,228742,211555,231994,231994
4708,Mage armour,1453248000000,231994,231994,224432,228742,211555,231994,231994
4708,Mage armour,1453334400000,229256,231994,224432,220962,211555,231994,231994
4708,Mage armour,1453420800000,229256,229256,226653,220962,211555,231994,231994
4708,Mage armour,1453507200000,229256,229256,226653,220962,211555,231994,231994
4708,Mage armour,1453593600000,227288,229256,226653,216898,211555,231994,231994
4708,Mage armour,1453680000000,227288,227288,231994,216898,211555,231994,231994
4708,Mage armour,1453766400000,236339,227288,231994,216898,211555,231994,231994
4708,Mage armour,1453852800000,236339,236339,231994,216898,211555,236339,236339
4708,Mage armour,1453939200000,244347,236339,229256,211555,211555,236339,236339
4708,Mage armour,1454025600000,244347,244347,229256,211555,211555,244347,244347
4708,Mage armour,1454112000000,248585,244347,229256,211555,211555,244347,244347
4708,Mage armour,1454198400000,248585,248585,227288,213685,213685,248585,248585
4708,Mage armour,1454284800000,256226,248585,227288,213685,213685,248585,248585
4708,Mage armour,1454371200000,256226,256226,236339,213685,213685,256226,256226
4708,Mage armour,1454457600000,269038,256226,236339,215294,215294,256226,256226
4708,Mage armour,1454544000000,269038,269038,244347,215294,215294,269038,269038
4708,Mage armour,1454630400000,269038,269038,244347,215294,215294,269038,269038
4708,Mage armour,1454716800000,282490,269038,248585,215294,215294,269038,269038
4708,Mage armour,1454803200000,282490,282490,248585,222775,222775,282490,282490
4708,Mage armour,1454889600000,282490,282490,256226,222775,222775,282490,282490
4708,Mage armour,1454976000000,294789,282490,256226,222775,222775,282490,282490
4708,Mage armour,1455062400000,294789,294789,269038,224432,224432,294789,294789
4708,Mage armour,1455148800000,294789,294789,269038,224432,224432,294789,294789
4708,Mage armour,1455235200000,299285,294789,269038,224432,224432,294789,294789
4708,Mage armour,1455321600000,299285,299285,282490,224432,224432,299285,299285
4708,Mage armour,1455408000000,305630,299285,282490,226653,226653,299285,299285
4708,Mage armour,1455494400000,305630,305630,282490,226653,226653,305630,305630
4708,Mage armour,1455580800000,305630,305630,294789,226653,226653,305630,305630
4708,Mage armour,1455667200000,293750,305630,294789,231994,227288,305630,305630
4708,Mage armour,1455753600000,293750,293750,294789,231994,227288,305630,305630
4708,Mage armour,1455840000000,293750,293750,299285,231994,227288,305630,305630
4708,Mage armour,1455926400000,280242,293750,299285,229256,227288,305630,305630
4708,Mage armour,1456012800000,280242,280242,305630,229256,227288,305630,305630
4708,Mage armour,1456099200000,267613,280242,305630,229256,227288,305630,305630
4708,Mage armour,1456185600000,267613,267613,305630,227288,227288,305630,305630
4708,Mage armour,1456272000000,255553,267613,293750,227288,227288,305630,305630
4708,Mage armour,1456358400000,223607,255553,293750,236339,236339,305630,305630
4708,Mage armour,1456444800000,223607,223607,293750,236339,223607,305630,305630
4708,Mage armour,1456531200000,223607,223607,280242,244347,223607,305630,305630
4708,Mage armour,1456617600000,223607,223607,280242,244347,223607,305630,305630
4708,Mage armour,1456704000000,212804,223607,267613,248585,223607,305630,305630
4708,Mage armour,1456790400000,212804,212804,267613,248585,212804,305630,305630
4708,Mage armour,1456876800000,209199,212804,255553,256226,212804,305630,305630
4708,Mage armour,1456963200000,209199,209199,223607,256226,209199,305630,305630
4708,Mage armour,1457049600000,209199,209199,223607,269038,209199,305630,305630
4708,Mage armour,1457136000000,210137,209199,223607,269038,209199,305630,305630
4708,Mage armour,1457222400000,210137,210137,223607,269038,209199,305630,305630
4708,Mage armour,1457308800000,210137,210137,212804,282490,209199,305630,305630
4708,Mage armour,1457395200000,218274,210137,212804,282490,209199,305630,305630
4708,Mage armour,1457481600000,218274,218274,209199,282490,209199,305630,305630
4708,Mage armour,1457568000000,218274,218274,209199,294789,209199,305630,305630
4708,Mage armour,1457654400000,218274,218274,209199,294789,209199,305630,305630
4708,Mage armour,1457740800000,225828,218274,210137,294789,209199,305630,305630
4708,Mage armour,1457827200000,225828,225828,210137,299285,209199,305630,305630
4708,Mage armour,1457913600000,225828,225828,210137,299285,209199,305630,305630
4708,Mage armour,1458000000000,224757,225828,218274,305630,209199,305630,305630
4708,Mage armour,1458086400000,224757,224757,218274,305630,209199,305630,305630
4708,Mage armour,1458172800000,224757,224757,218274,305630,209199,305630,305630
4708,Mage armour,1458259200000,224757,224757,218274,293750,209199,293750,293750
4708,Mage armour,1458345600000,214254,224757,225828,293750,209199,293750,293750
4708,Mage armour,1458432000000,214254,214254,225828,293750,209199,293750,293750
4708,Mage armour,1458518400000,214254,214254,225828,280242,209199,280242,280242
4708,Mage armour,1458604800000,208517,214254,224757,280242,209199,280242,280242
4708,Mage armour,1458691200000,208517,208517,224757,267613,208517,267613,267613
4708,Mage armour,1458777600000,208517,208517,224757,267613,208517,267613,267613
4708,Mage armour,1458864000000,203352,208517,224757,255553,208517,255553,255553
4708,Mage armour,1458950400000,203352,203352,214254,223607,203352,225828,225828
4708,Mage armour,1459036800000,203352,203352,214254,223607,203352,225828,225828
4708,Mage armour,1459123200000,201680,203352,214254,223607,203352,225828,225828
4708,Mage armour,1459209600000,201680,201680,208517,223607,201680,225828,225828
4708,Mage armour,1459296000000,201680,201680,208517,212804,201680,225828,225828
4708,Mage armour,1459382400000,195963,201680,208517,212804,201680,225828,225828
4708,Mage armour,1459468800000,195963,195963,203352,209199,195963,225828,225828
4708,Mage armour,1459555200000,195963,195963,203352,209199,195963,225828,225828
4708,Mage armour,1459641600000,195963,195963,203352,209199,195963,225828,225828
4708,Mage armour,1459728000000,191069,195963,201680,210137,195963,225828,225828
4708,Mage armour,1459814400000,191069,191069,201680,210137,191069,225828,225828
